股票代码,股票简称,最新价,最新涨跌幅,涨停[20250324],首次涨停时间[20250324],最终涨停时间[20250324],涨停明细数据[20250324],连续涨停天数[20250324],涨停原因类别[20250324],涨停封单量[20250324],涨停封单额[20250324],涨停封单量占成交量比[20250324],涨停封单量占流通a股比[20250324],涨停开板次数[20250324],a股市值(不含限售股)[20250324],几天几板[20250324],涨停类型[20250324],market_code,code
002682.SZ,龙洲股份,5.42,9.939148073,涨停, 10:39:36, 10:39:36,"[{""code"":""002682.SZ"",""time"":1742783976000,""openTime"":null,""duration"":3024000,""updatedTime"":1742790414000,""firstVol"":1.3719035E8,""highestVol"":1.4344985E8,""firstVolDivLTGB"":0.2439545890049252,""firstVolDivVol"":1.872695,""highestVolDivLTGB"":0.2550853554901505,""highestVolDivVol"":1.935163}]",1,应急服务+机器人概念+港口码头综合服务+国企,47435350,257099597,54.264705340648625,8.435047591579712,0,3047992300.000,首板涨停,放量涨停,33,002682
600421.SH,华嵘控股,6.92,10.015898251,涨停, 09:41:38, 09:41:38,"[{""code"":""600421.SH"",""time"":1742780498000,""openTime"":null,""duration"":6492000,""updatedTime"":1742790431000,""firstVol"":2.53614E7,""highestVol"":2.53614E7,""firstVolDivLTGB"":0.12965950920245398,""firstVolDivVol"":7.74886,""highestVolDivLTGB"":0.12965950920245398,""highestVolDivVol"":7.74886}]",1,数据要素+房屋建筑PC构件+装配式建筑+风电混塔模具,13834900,95737508,195.08250350403705,7.073057259713702,0,1353552000.000,首板涨停,缩量涨停,17,600421
002204.SZ,大连重工,7.7,10,涨停, 09:25:00, 09:25:00,"[{""code"":""002204.SZ"",""time"":1742779500000,""openTime"":null,""duration"":7248000,""updatedTime"":1742790432000,""firstVol"":2.624144E8,""highestVol"":2.624144E8,""firstVolDivLTGB"":0.13586956184064888,""firstVolDivVol"":62.183507,""highestVolDivLTGB"":0.13586956184064888,""highestVolDivVol"":62.183507}]",4,海工装备+海上风电+国企改革,136103730,1047998721,952.7823527422823,7.047004341216785,0,14871549000.000,4天4板,一字涨停||缩量涨停,33,002204
003033.SZ,征和工业,54.07,10.01017294,涨停, 10:33:00, 10:33:00,"[{""code"":""003033.SZ"",""time"":1742783580000,""openTime"":null,""duration"":3420000,""updatedTime"":1742790384000,""firstVol"":8301900.0,""highestVol"":8313400.0,""firstVolDivLTGB"":0.10300363559321467,""firstVolDivVol"":1.725618,""highestVolDivLTGB"":0.10314631881143241,""highestVolDivVol"":1.7279}]",1,链传动+探索机器人领域应用,3639100,196766137,69.88360541870152,4.515117386228062,0,4357940700.000,首板涨停,缩量涨停,33,003033
600360.SH,ST华微,6.29,5.008347245,涨停, 09:38:21, 10:03:57,"[{""code"":""600360.SH"",""time"":1742780301000,""openTime"":1742780352000,""duration"":48000,""updatedTime"":1742780352000,""firstVol"":2526010.0,""highestVol"":5434610.0,""firstVolDivLTGB"":0.002630451267936222,""firstVolDivVol"":0.205168,""highestVolDivLTGB"":0.005659311232037432,""highestVolDivVol"":0.428983},{""code"":""600360.SH"",""time"":1742780607000,""openTime"":1742781801000,""duration"":1191000,""updatedTime"":1742781801000,""firstVol"":5739400.0,""highestVol"":7731400.0,""firstVolDivLTGB"":0.005976703182961728,""firstVolDivVol"":0.302252,""highestVolDivLTGB"":0.008051065091952173,""highestVolDivVol"":0.40402},{""code"":""600360.SH"",""time"":1742781837000,""openTime"":null,""duration"":5139000,""updatedTime"":1742790426000,""firstVol"":332100.0,""highestVol"":6527420.0,""firstVolDivLTGB"":3.458311194657263E-4,""firstVolDivVol"":0.013957,""highestVolDivLTGB"":0.006797304925693982,""highestVolDivVol"":0.265663}]",1,年报预增+功率半导体+先进封装+小米概念,5118820,32197377.8,20.595741194930557,0.5330464471374734,2,6040257500.000,首板涨停,缩量涨停,22,600360
600610.SH,中毅达,8.76,10.050251256,涨停, 10:14:29, 11:26:59,"[{""code"":""600610.SH"",""time"":1742782469000,""openTime"":1742782493000,""duration"":21000,""updatedTime"":1742782493000,""firstVol"":5503400.0,""highestVol"":5503400.0,""firstVolDivLTGB"":0.007765193495848304,""firstVolDivVol"":0.066644,""highestVolDivLTGB"":0.007765193495848304,""highestVolDivVol"":0.066644},{""code"":""600610.SH"",""time"":1742782529000,""openTime"":1742786198000,""duration"":3666000,""updatedTime"":1742786198000,""firstVol"":1.10005E7,""highestVol"":2.78746E7,""firstVolDivLTGB"":0.015521497810640562,""firstVolDivVol"":0.127195,""highestVolDivLTGB"":0.03933053432775614,""highestVolDivVol"":0.320428},{""code"":""600610.SH"",""time"":1742786228000,""openTime"":1742786810000,""duration"":579000,""updatedTime"":1742786810000,""firstVol"":4325700.0,""highestVol"":7935500.0,""firstVolDivLTGB"":0.00610348103081568,""firstVolDivVol"":0.044004,""highestVolDivLTGB"":0.011196840677818115,""highestVolDivVol"":0.08049},{""code"":""600610.SH"",""time"":1742786819000,""openTime"":null,""duration"":183000,""updatedTime"":1742790428000,""firstVol"":2373010.0,""highestVol"":5286110.0,""firstVolDivLTGB"":0.003348272307588579,""firstVolDivVol"":0.023138,""highestVolDivLTGB"":0.007458601408281913,""highestVolDivVol"":0.051364}]",1,季戊四醇+精细化工+国企改革,3461365,30321557.4,3.309985779367815,0.48839206644541494,3,6208445900.000,首板涨停,放量涨停,17,600610
603215.SH,比依股份,19.86,10.027700831,涨停, 09:33:30, 09:50:54,"[{""code"":""603215.SH"",""time"":1742780010000,""openTime"":1742780112000,""duration"":99000,""updatedTime"":1742780112000,""firstVol"":1.9772497E7,""highestVol"":2.2266897E7,""firstVolDivLTGB"":0.1056063028478909,""firstVolDivVol"":5.481849,""highestVolDivLTGB"":0.11892906940710592,""highestVolDivVol"":5.730321},{""code"":""603215.SH"",""time"":1742780154000,""openTime"":1742780982000,""duration"":825000,""updatedTime"":1742780982000,""firstVol"":1.7590428E7,""highestVol"":2.1404628E7,""firstVolDivLTGB"":0.09395171821707798,""firstVolDivVol"":1.327372,""highestVolDivLTGB"":0.11432362978304891,""highestVolDivVol"":1.554363},{""code"":""603215.SH"",""time"":1742781054000,""openTime"":null,""duration"":5946000,""updatedTime"":1742790423000,""firstVol"":1.08759E7,""highestVol"":1.43285E7,""firstVolDivLTGB"":0.05808894997649395,""firstVolDivVol"":0.553724,""highestVolDivLTGB"":0.07652953040559343,""highestVolDivVol"":0.72623}]",1,AI眼镜+小家电+拟合资设立境外子公司,5808700,115360782,26.3736157960737,3.102467692130862,2,3718355600.000,首板涨停,放量涨停,17,603215
002735.SZ,王子新材,10.49,9.958071279,涨停, 10:01:33, 10:05:00,"[{""code"":""002735.SZ"",""time"":1742781693000,""openTime"":1742781843000,""duration"":147000,""updatedTime"":1742781843000,""firstVol"":5.75769E7,""highestVol"":5.78669E7,""firstVolDivLTGB"":0.2051951524151412,""firstVolDivVol"":4.111019,""highestVolDivLTGB"":0.20622866749150673,""highestVolDivVol"":4.004933},{""code"":""002735.SZ"",""time"":1742781867000,""openTime"":1742781891000,""duration"":21000,""updatedTime"":1742781891000,""firstVol"":4.25824E7,""highestVol"":4.25824E7,""firstVolDivLTGB"":0.1517570771994065,""firstVolDivVol"":1.999851,""highestVolDivLTGB"":0.1517570771994065,""highestVolDivVol"":1.999851},{""code"":""002735.SZ"",""time"":1742781900000,""openTime"":null,""duration"":5100000,""updatedTime"":1742790420000,""firstVol"":2.62315E7,""highestVol"":3.89933E7,""firstVolDivLTGB"":0.09348500250235384,""firstVolDivVol"":1.098187,""highestVolDivLTGB"":0.13896608078360115,""highestVolDivVol"":1.311995}]",1,军工电子+飞行汽车+家电,16117300,169070477,46.08087811244205,5.743956048381478,2,2943450000.000,首板涨停,放量涨停,33,002735
000430.SZ,张家界,8.11,10.040705563,涨停, 09:36:03, 09:42:00,"[{""code"":""000430.SZ"",""time"":1742780163000,""openTime"":1742780364000,""duration"":198000,""updatedTime"":1742780364000,""firstVol"":5.90486E7,""highestVol"":5.90486E7,""firstVolDivLTGB"":0.1779972677299128,""firstVolDivVol"":3.669018,""highestVolDivLTGB"":0.1779972677299128,""highestVolDivVol"":3.669018},{""code"":""000430.SZ"",""time"":1742780403000,""openTime"":1742780454000,""duration"":48000,""updatedTime"":1742780454000,""firstVol"":4.41243E7,""highestVol"":4.67621E7,""firstVolDivLTGB"":0.13300916263035858,""firstVolDivVol"":1.611901,""highestVolDivLTGB"":0.1409605991219598,""highestVolDivVol"":1.689103},{""code"":""000430.SZ"",""time"":1742780472000,""openTime"":1742780511000,""duration"":36000,""updatedTime"":1742780511000,""firstVol"":3.969758E7,""highestVol"":4.131618E7,""firstVolDivLTGB"":0.11966517030868865,""firstVolDivVol"":1.268577,""highestVolDivLTGB"":0.12454431016209137,""highestVolDivVol"":1.308389},{""code"":""000430.SZ"",""time"":1742780520000,""openTime"":null,""duration"":6480000,""updatedTime"":1742790381000,""firstVol"":3.06809E7,""highestVol"":3.06809E7,""firstVolDivLTGB"":0.09248511178071422,""firstVolDivVol"":0.903099,""highestVolDivLTGB"":0.09248511178071422,""highestVolDivVol"":0.903099}]",1,旅游+国企改革,13481900,109338209,32.7018671250363,4.064010601111477,3,2690401700.000,首板涨停,放量涨停,33,000430
003039.SZ,顺控发展,14.28,10.01540832,涨停, 09:45:45, 09:45:45,"[{""code"":""003039.SZ"",""time"":1742780745000,""openTime"":null,""duration"":6255000,""updatedTime"":1742790399000,""firstVol"":2.76347E7,""highestVol"":2.97886E7,""firstVolDivLTGB"":0.04475119321481957,""firstVolDivVol"":4.611442,""highestVolDivLTGB"":0.04823918458311378,""highestVolDivVol"":4.780144}]",1,自来水制售+垃圾焚烧发电+国企,11783565,168269308.2,127.74879003314501,1.9082117557794562,0,8818167500.000,首板涨停,放量涨停,33,003039
