股票代码,股票简称,最新价,最新涨跌幅,涨停[20250619],首次涨停时间[20250619],最终涨停时间[20250619],涨停明细数据[20250619],连续涨停天数[20250619],涨停原因类别[20250619],涨停封单量[20250619],涨停封单额[20250619],涨停封单量占成交量比[20250619],涨停封单量占流通a股比[20250619],涨停开板次数[20250619],a股市值(不含限售股)[20250619],几天几板[20250619],涨停类型[20250619],market_code,code
002579.SZ,中京电子,9.91,9.988901221,涨停, 09:25:00, 09:25:00,"[{""code"":""002579.SZ"",""time"":1750296300000,""openTime"":null,""duration"":6642000,""updatedTime"":1750303221000,""firstVol"":8.871378E7,""highestVol"":8.871378E7,""firstVolDivLTGB"":0.15255323773666699,""firstVolDivVol"":18.428977,""highestVolDivLTGB"":0.15255323773666699,""highestVolDivVol"":18.428977}]",2,AI眼镜+PCB+小米概念+人形机器人,63218614,627061334.74,467.52116500368356,10.871145667476444,0,5762929500.000,2天2板,一字涨停||缩量涨停,33,002579
002017.SZ,东信和平,17.67,10.0249066,涨停, 10:07:51, 10:07:51,"[{""code"":""002017.SZ"",""time"":1750298871000,""openTime"":null,""duration"":4353000,""updatedTime"":1750303224000,""firstVol"":1.8142213E7,""highestVol"":3.9617653E7,""firstVolDivLTGB"":0.031275046614563186,""firstVolDivVol"":0.192783,""highestVolDivLTGB"":0.06829618549482298,""highestVolDivVol"":0.401533}]",4,数字货币+区块链+低空经济+央企,19387620,342593381.4,18.884520510600378,3.342198216091044,0,10250117500.000,6天5板,放量涨停,33,002017
002424.SZ,ST百灵,4.39,5.023923445,涨停, 09:25:00, 09:25:00,"[{""code"":""002424.SZ"",""time"":1750296300000,""openTime"":null,""duration"":6675000,""updatedTime"":1750303221000,""firstVol"":6.0082E7,""highestVol"":6.0082E7,""firstVolDivLTGB"":0.04952298163739736,""firstVolDivVol"":40.057337,""highestVolDivLTGB"":0.04952298163739736,""highestVolDivVol"":40.057337}]",1,苗药龙头+ST摘帽预期+黄连解毒丸上市,42243700,185458623,1015.2783118631033,3.481964614020377,0,5326011700.000,首板涨停,一字涨停||缩量涨停,33,002424
603918.SH,金桥信息,19.71,9.988839286,涨停, 09:31:48, 09:33:18,"[{""code"":""603918.SH"",""time"":1750296708000,""openTime"":1750296750000,""duration"":39000,""updatedTime"":1750296750000,""firstVol"":2.4873915E7,""highestVol"":2.9131115E7,""firstVolDivLTGB"":0.0679190899730487,""firstVolDivVol"":1.708493,""highestVolDivLTGB"":0.07954352263004148,""highestVolDivVol"":1.779654},{""code"":""603918.SH"",""time"":1750296774000,""openTime"":1750296792000,""duration"":15000,""updatedTime"":1750296792000,""firstVol"":2843561.0,""highestVol"":2.0137461E7,""firstVolDivLTGB"":0.0077644422039253695,""firstVolDivVol"":0.107218,""highestVolDivLTGB"":0.05498603760155002,""highestVolDivVol"":0.74704},{""code"":""603918.SH"",""time"":1750296798000,""openTime"":null,""duration"":6426000,""updatedTime"":1750303224000,""firstVol"":6979800.0,""highestVol"":2.7436996E7,""firstVolDivLTGB"":0.019058586643633912,""firstVolDivVol"":0.23135,""highestVolDivLTGB"":0.07491767178243461,""highestVolDivVol"":0.831058}]",1,蚂蚁金服概念+区块链+智慧法院,9233251,181987377.21,21.361363671644902,2.521171296970106,2,7218366200.000,首板涨停,放量涨停,17,603918
301182.SZ,凯旺科技,37.18,20.012911556,涨停, 10:30:09, 10:30:09,"[{""code"":""301182.SZ"",""time"":1750300209000,""openTime"":null,""duration"":3012000,""updatedTime"":1750303221000,""firstVol"":3.52196E7,""highestVol"":3.65433E7,""firstVolDivLTGB"":0.9207329347453839,""firstVolDivVol"":3.471349,""highestVolDivLTGB"":0.9553379326931875,""highestVolDivVol"":3.524863}]",1,消费电子+铜缆高速连接+宇树科技合作,13250100,492638718,112.42048643850092,34.63924479173475,0,1422198200.000,首板涨停,放量涨停,33,301182
600551.SH,时代出版,10.2,10.03236246,涨停, 09:25:02, 09:25:02,"[{""code"":""600551.SH"",""time"":1750296302000,""openTime"":null,""duration"":6624000,""updatedTime"":1750303223000,""firstVol"":8.782742E7,""highestVol"":8.782742E7,""firstVolDivLTGB"":0.12952841442465426,""firstVolDivVol"":81.83848,""highestVolDivLTGB"":0.12952841442465426,""highestVolDivVol"":81.83848}]",2,参股京东金融+出版+课后服务+国企改革,18316095,186824169,94.7749205625118,2.701268856356407,0,6916163400.000,2天2板,一字涨停||缩量涨停,17,600551
603823.SH,百合花,12.35,9.973285841,涨停, 10:12:54, 10:12:54,"[{""code"":""603823.SH"",""time"":1750299174000,""openTime"":null,""duration"":4047000,""updatedTime"":1750303221000,""firstVol"":4.291665E7,""highestVol"":4.291665E7,""firstVolDivLTGB"":0.10441206959162916,""firstVolDivVol"":2.267218,""highestVolDivLTGB"":0.10441206959162916,""highestVolDivVol"":2.267218}]",1,有机颜料+钠电池材料+光刻胶应用,15212650,187873757.5,62.18150812735465,3.701090999584304,0,5076239100.000,首板涨停,放量涨停,17,603823
600110.SH,诺德股份,4.68,10.117647059,涨停, 09:36:16, 09:36:37,"[{""code"":""600110.SH"",""time"":1750296976000,""openTime"":1750296991000,""duration"":12000,""updatedTime"":1750296991000,""firstVol"":2029100.0,""highestVol"":3.37739E7,""firstVolDivLTGB"":0.0011693881384814571,""firstVolDivVol"":0.018842,""highestVolDivLTGB"":0.01946419498805327,""highestVolDivVol"":0.312121},{""code"":""600110.SH"",""time"":1750296997000,""openTime"":null,""duration"":6225000,""updatedTime"":1750303222000,""firstVol"":319600.0,""highestVol"":7.4566186E7,""firstVolDivLTGB"":1.841882849828366E-4,""firstVolDivVol"":0.002593,""highestVolDivLTGB"":0.04297314742506633,""highestVolDivVol"":0.550099}]",3,固态电池材料+PCB概念+电解铜箔,40695300,190454004,27.49217833194419,2.3453058554011355,1,8120646800.000,3天3板,放量涨停,17,600110
301176.SZ,逸豪新材,25.48,20.018841262,涨停, 09:33:30, 09:33:30,"[{""code"":""301176.SZ"",""time"":1750296810000,""openTime"":null,""duration"":6411000,""updatedTime"":1750303221000,""firstVol"":1.4736885E7,""highestVol"":1.6832416E7,""firstVolDivLTGB"":0.26149835164433477,""firstVolDivVol"":1.373706,""highestVolDivLTGB"":0.29868245821228345,""highestVolDivVol"":1.522896}]",2,PCB产业链+产能扩张+亏损缩小,4693065,119579296.2,29.548293255539647,8.327599500570981,0,1435939600.000,2天2板,放量涨停,33,301176
002240.SZ,盛新锂能,12.34,9.982174688,涨停, 09:42:48, 09:42:48,"[{""code"":""002240.SZ"",""time"":1750297368000,""openTime"":null,""duration"":5853000,""updatedTime"":1750303221000,""firstVol"":9.19042E7,""highestVol"":1.017638E8,""firstVolDivLTGB"":0.10604534029597448,""firstVolDivVol"":6.956246,""highestVolDivLTGB"":0.11742201989475441,""highestVolDivVol"":7.183283}]",1,固态电池+金属锂+锂矿资源,21706919,267858444.46,64.02997500116736,2.5046925082119795,0,10694461700.000,首板涨停,放量涨停,33,002240
